name,comment,Index
#一般关键字：,,
ADD,一般关键字,1
AFTER,一般关键字,2
ALIAS,一般关键字,3
ALIGN,一般关键字,4
ALIGNED,一般关键字,5
ALL,一般关键字,6
ALTER,一般关键字,7
ALTER_TIMESERIES,一般关键字,8
ANY,一般关键字,9
APPEND,一般关键字,10
APPLY_TEMPLATE,一般关键字,11
AS,一般关键字,12
ASC,一般关键字,13
ATTRIBUTES,一般关键字,14
BEFORE,一般关键字,15
BEGIN,一般关键字,16
BLOCKED,一般关键字,17
BOUNDARY,一般关键字,18
BY,一般关键字,19
CACHE,一般关键字,20
CHILD,一般关键字,21
CLEAR,一般关键字,22
CLUSTER,一般关键字,23
CONCAT,一般关键字,24
CONFIGNODES,一般关键字,25
CONFIGURATION,一般关键字,26
CONTINUOUS,一般关键字,27
COUNT,一般关键字,28
CONTAIN,一般关键字,29
CQ,一般关键字,30
CQS,一般关键字,31
CREATE,一般关键字,32
CREATE_CONTINUOUS_QUERY,一般关键字,33
CREATE_FUNCTION,一般关键字,34
CREATE_ROLE,一般关键字,35
CREATE_TIMESERIES,一般关键字,36
CREATE_TRIGGER,一般关键字,37
CREATE_USER,一般关键字,38
DATA,一般关键字,39
DATABASE,一般关键字,40
DATABASES,一般关键字,41
DATANODES,一般关键字,42
DEACTIVATE,一般关键字,43
DEBUG,一般关键字,44
DELETE,一般关键字,45
DELETE_ROLE,一般关键字,46
DELETE_STORAGE_GROUP,一般关键字,47
DELETE_TIMESERIES,一般关键字,48
DELETE_USER,一般关键字,49
DESC,一般关键字,50
DESCRIBE,一般关键字,51
DEVICE,一般关键字,52
DEVICEID,一般关键字,53
DEVICES,一般关键字,54
DISABLE,一般关键字,55
DISCARD,一般关键字,56
DROP,一般关键字,57
DROP_CONTINUOUS_QUERY,一般关键字,58
DROP_FUNCTION,一般关键字,59
DROP_TRIGGER,一般关键字,60
END,一般关键字,61
ENDTIME,一般关键字,62
EVERY,一般关键字,63
EXPLAIN,一般关键字,64
FILL,一般关键字,65
FILE,一般关键字,66
FLUSH,一般关键字,67
FOR,一般关键字,68
FROM,一般关键字,69
FULL,一般关键字,70
FUNCTION,一般关键字,71
FUNCTIONS,一般关键字,72
GLOBAL,一般关键字,73
GRANT,一般关键字,74
GRANT_ROLE_PRIVILEGE,一般关键字,75
GRANT_USER_PRIVILEGE,一般关键字,76
GRANT_USER_ROLE,一般关键字,77
GROUP,一般关键字,78
HAVING,一般关键字,79
INDEX,一般关键字,80
INFO,一般关键字,81
INSERT,一般关键字,82
INSERT_TIMESERIES,一般关键字,83
INTO,一般关键字,84
KILL,一般关键字,85
LABEL,一般关键字,86
LAST,一般关键字,87
LATEST,一般关键字,88
LEVEL,一般关键字,89
LIKE,一般关键字,90
LIMIT,一般关键字,91
LINEAR,一般关键字,92
LINK,一般关键字,93
LIST,一般关键字,94
LIST_ROLE,一般关键字,95
LIST_USER,一般关键字,96
LOAD,一般关键字,97
LOCAL,一般关键字,98
LOCK,一般关键字,99
MERGE,一般关键字,100
METADATA,一般关键字,101
MODIFY_PASSWORD,一般关键字,102
NODES,一般关键字,103
NONE,一般关键字,104
NOW,一般关键字,105
OF,一般关键字,106
OFF,一般关键字,107
OFFSET,一般关键字,108
ON,一般关键字,109
ORDER,一般关键字,110
ONSUCCESS,一般关键字,111
PARTITION,一般关键字,112
PASSWORD,一般关键字,113
PATHS,一般关键字,114
PIPE,一般关键字,115
PIPES,一般关键字,116
PIPESINK,一般关键字,117
PIPESINKS,一般关键字,118
PIPESINKTYPE,一般关键字,119
POLICY,一般关键字,120
PREVIOUS,一般关键字,121
PREVIOUSUNTILLAST,一般关键字,122
PRIVILEGES,一般关键字,123
PROCESSLIST,一般关键字,124
PROPERTY,一般关键字,125
PRUNE,一般关键字,126
QUERIES,一般关键字,127
QUERY,一般关键字,128
RANGE,一般关键字,129
READONLY,一般关键字,130
READ_TEMPLATE,一般关键字,131
READ_TEMPLATE_APPLICATION,一般关键字,132
READ_TIMESERIES,一般关键字,133
REGEXP,一般关键字,134
REGIONID,一般关键字,135
REGIONS,一般关键字,136
REMOVE,一般关键字,137
RENAME,一般关键字,138
RESAMPLE,一般关键字,139
RESOURCE,一般关键字,140
REVOKE,一般关键字,141
REVOKE_ROLE_PRIVILEGE,一般关键字,142
REVOKE_USER_PRIVILEGE,一般关键字,143
REVOKE_USER_ROLE,一般关键字,144
ROLE,一般关键字,145
RUNNING,一般关键字,146
SCHEMA,一般关键字,147
SELECT,一般关键字,148
SERIESSLOTID,一般关键字,149
SET,一般关键字,150
SET_STORAGE_GROUP,一般关键字,151
SETTLE,一般关键字,152
SGLEVEL,一般关键字,153
SHOW,一般关键字,154
SLIMIT,一般关键字,155
SOFFSET,一般关键字,156
STORAGE,一般关键字,157
START,一般关键字,158
STARTTIME,一般关键字,159
STATELESS,一般关键字,160
STATEFUL,一般关键字,161
STOP,一般关键字,162
SYSTEM,一般关键字,163
TAGS,一般关键字,164
TASK,一般关键字,165
TEMPLATE,一般关键字,166
TIMEOUT,一般关键字,167
TIMESERIES,一般关键字,168
TIMESLOTID,一般关键字,169
TO,一般关键字,170
TOLERANCE,一般关键字,171
TOP,一般关键字,172
TRACING,一般关键字,173
TRIGGER,一般关键字,174
TRIGGERS,一般关键字,175
TTL,一般关键字,176
UNLINK,一般关键字,177
UNLOAD,一般关键字,178
UNSET,一般关键字,179
UPDATE,一般关键字,180
UPDATE_TEMPLATE,一般关键字,181
UPSERT,一般关键字,182
URI,一般关键字,183
USER,一般关键字,184
USING,一般关键字,185
VALUES,一般关键字,186
VERIFY,一般关键字,187
VERSION,一般关键字,188
WATERMARK_EMBEDDING,一般关键字,189
WHERE,一般关键字,190
WITH,一般关键字,191
WITHOUT,一般关键字,192
WRITABLE,一般关键字,193
abstract,java关键字,200
assert,java关键字,201
boolean,java关键字,202
break,java关键字,203
byte,java关键字,204
case,java关键字,205
catch,java关键字,206
char,java关键字,207
class,java关键字,208
continue,java关键字,209
default,java关键字,210
do,java关键字,211
double,java关键字,212
else,java关键字,213
enum,java关键字,214
extends,java关键字,215
final,java关键字,216
finally,java关键字,217
float,java关键字,218
for,java关键字,219
#if,java关键字,220
implements,java关键字,221
import,java关键字,222
instanceof,java关键字,223
int,java关键字,224
interface,java关键字,225
long,java关键字,226
native,java关键字,227
new,java关键字,228
`null`,java关键字,229
package,java关键字,230
private,java关键字,231
protected,java关键字,232
public,java关键字,233
return,java关键字,234
short,java关键字,235
static,java关键字,236
strictfp,java关键字,237
super,java关键字,238
switch,java关键字,239
synchronized,java关键字,240
this,java关键字,241
throw,java关键字,242
throws,java关键字,243
transient,java关键字,244
try,java关键字,245
void,java关键字,246
volatile,java关键字,247
while,java关键字,248
const,java关键字,249
