input,expect,comment
,error,空串
null,error,null 值
root,error,single root
root..cx3,error,empty string
root.null,error,null string
Root.capital,error,case sensitive:capital
ROOT.big,error,case sensitive:all big
sg.root,error,prefix is not root
root.sg.root,error,2 root
root.111,error,all number
# 重复
root.c,error,duplicate:the same
root.c.c1,error,duplicate:third level
# 最大长度(似乎没有限制)
#root.abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abc,error,length:256 characters with only character and dot
#root.level2.level3.level4.level5.level6.level7.level8.level9.level10.level11.level12.level13.level14.level15.level16.level17.level18.level19.level20.level21.level22.level23.level24.level25.level26.level27.level28.level29.level30.level31.level32.level33.lev,error,length:256 characters whith 33 dot
#root.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l,error,length:max 125 dots 256 characters
#root.汉语是中国使用人数最多的语言也是世界上作为第一语言使用人数最多的语言中国除汉族使用汉语外回族满族等也基本使用或转用汉语其他民族都有自己的语言许多民族都不同程度地转用或兼用汉语现代汉语有标准语和方言之分普通话是现代汉语的标准语以北京语音为标准音以北方话为基础方言以典范的现代白话文著作为语法规范中华人民共和国宪法规定国家推广全国通用的普通话2000年10月31日颁布的中华人民共和国国家通用语言文字法确定普通话为国家通用语言汉语方言通常分为十大方言官话方言晋方言吴方言闽方言客家方言粤方言湘方言赣方言徽,error,length:chinese character
#root.汉语是中国使用人数最多的语言也是世界上作为第一语言使用人数最多的语言中国除汉族使用汉语外回族满族等也基本使用或转用汉语其他民族都有自己的语言许多民族都不同程度地转用或兼用汉语现代汉语有标准语和方言之分普通话是现代汉语的标准语以北京语音为标准音以北方话为基础方言以典范的现代白话文著作为语法规范中华人民共和国宪,error,length:chinese character
# 关键字
root.and,error,key word of and
root.or,error,key word of or
root.null,error,key word of or
# IOTDB-4707(单机版能建不能查，分布式创建error)
root.quote.`null`,OK,null with backquotes
root.quote.`and`,OK,and with backquotes
root.quote.`or`,OK,or with backquotes
# 特殊字符转义
root.`\"a`,error,quote with backquotes
root.`ab\``,error,` with backquotes
root.`ab\,`,error,coma with backquotes
root.`ab\|`,error,| with backquotes
root.`ab\!`,error,! with backquotes
root.`ab\@`,error,@ with backquotes
root.`ab\#`,error,# with backquotes
root.`ab\$`,error,$ with backquotes
root.`ab\%`,error,% with backquotes
root.`ab\^`,error,^ with backquotes
root.`ab\&`,error,^ with backquotes
root.`ab\*`,error,^ with backquotes
root.`ab\(`,error,( with backquotes
root.`ab\)`,error,) with backquotes
root.`ab\-`,error,- with backquotes
root.`ab\+`,error,+ with backquotes
root.`ab\=`,error,= with backquotes
root.`ab\]`,error,] with backquotes
root.`ab\[`,error,[ with backquotes
root.`ab\|`,error,| with backquotes
root.`ab\{`,error,{ with backquotes
root.`ab\}`,error,} with backquotes
root.`ab\:`,error,: with backquotes
root.`ab\;`,error,; with backquotes
root.`ab\?`,error,? with backquotes
root.`ab\<`,error,< with backquotes
root.`ab\>`,error,> with backquotes
root.`ab\'`,error,' with backquotes
root.`ab\/`,error,/ with backquotes
root.`ab\\`,error,\ with backquotes
root.`ab\。`,error,。 with backquotes
root.`ab\……`,error,…… with backquotes
root.`ab\ `,error,white space with backquotes
root.`ab\\t`,error,tab with backquotes
