input,expect,comment
root.cx.test1,OK,normal
root.c,OK,length:valid shortest
root.1c,OK,start with number
root._ab,OK,start with under line
root._AB,OK,case sensitive
# 数字
root.`111`.ts,OK,all number with backquotes
root.`10.123`.ts,OK,real number with backquotes
root.cx3.`www.Timecho.com`,OK, dot with backquotes
root.`123`.`456`,OK,2 level with all number
# 关键字
root.select,OK,key word of select
root.from.select.delete.show.create.set.where.group.order.by.update,OK,key words
# IOTDB-4707(单机版能建不能查，分布式创建error)
#root.quote.`null`,OK,null with backquotes
#root.quote.`and`,OK,and with backquotes
#root.quote.`or`,OK,or with backquotes
# 最大长度和层级测试
root.abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789ab,OK,length:255 characters
root.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l.l1,OK,length:max 124 dots 255 characters
#IOTDB-4668(single,分布式无限制)
root.level2.level3.level4.level5.level6.level7.level8.level9.level10.level11.level12.level13.level14.level15.level16.level17.level18.level19.level20.level21.level22.level23.level24.level25.level26.level27.level28.level29.level30.level31.level32.level33,OK,length:252 characters with 133 levels
root.`level2.level3.level4.level5.level6.level7.level8.level9.level10.level11.level12.level13.level14.level15.level16.level17.level18.level19.level20.level21.level22.level23.level24.level25.level26.level27.level28.level29.level30.level31.level32.level33`,OK,length:252 characters with 133 levels and backquote
root.`123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789.12345678912345678912345678912345678912345678912345678912345678912345678912345678912345`,OK,length:255 numbers with backquote
# 国际化支持
root.中文,OK,language:chinese characters
root.cx2.中文1.中文2,OK,language:Chinese characters 4 level
root.にほんご,OK,language:Japanese characters
root.quote4.`にほんご`,OK,language:Japanese characters with backquotes
# IOTDB-4707
#root.française,OK,language:French characters
#root.اللغة العربية,OK,language:Arabic characters
#root.Español,OK,language:Spanish characters
#root.Русский,OK,language:Russian characters
#root.한국어,OK,language:Korean characters
#root.quote1.`française`,OK,language:French characters with backquotes
#root.quote2.`اللغة العربية`,OK,language:Arabic characters with backquotes
#root.quote3.`Español`,OK,language:Spanish characters with backquotes
#root.quote5.`Русский`,OK,language:Russian characters with backquotes
#root.quote6.`한국어`,OK,language:Korean characters with backquotes

